class_output_accuracy,class_output_loss,features_output_loss,loss,val_class_output_accuracy,val_class_output_loss,val_features_output_loss,val_loss,learning_rate
0.5807127952575684,0.6826668381690979,0.011805260553956032,0.68500816822052,0.6919315457344055,0.6231324076652527,0.007528557442128658,0.6228620409965515,9.999999747378752e-05
0.6420335173606873,0.6245338916778564,0.006137578282505274,0.6265476942062378,0.6968215107917786,0.5838614106178284,0.006686645094305277,0.5852906703948975,9.999999747378752e-05
0.7133123874664307,0.5452651381492615,0.00616882648319006,0.5479359030723572,0.7677261829376221,0.5076509714126587,0.006371968425810337,0.5078649520874023,9.999999747378752e-05
0.7568134069442749,0.47834059596061707,0.005266054067760706,0.48101162910461426,0.7628361582756042,0.4906560778617859,0.006031640339642763,0.48906517028808594,9.999999747378752e-05
0.7803983092308044,0.4471815228462219,0.005019536707550287,0.44952964782714844,0.6748166084289551,0.5304485559463501,0.004907216411083937,0.5272852778434753,9.999999747378752e-05
0.7992662191390991,0.42505693435668945,0.004360934253782034,0.42673221230506897,0.6552567481994629,0.5275219678878784,0.0049762544222176075,0.5256100296974182,9.999999747378752e-05
0.8118448853492737,0.40244004130363464,0.0036965548060834408,0.40463581681251526,0.6821516156196594,0.5309290289878845,0.004010881297290325,0.5287391543388367,9.999999747378752e-05
0.8155136108398438,0.3990994989871979,0.002986836014315486,0.4011528193950653,0.7481662631034851,0.4967572093009949,0.003042803844437003,0.49466603994369507,9.999999747378752e-05
0.8317610025405884,0.3723864257335663,0.0025992325972765684,0.3746874928474426,0.8361858129501343,0.38063156604766846,0.0025129204150289297,0.3813190460205078,4.999999873689376e-05
0.8375262022018433,0.3607434928417206,0.0023459279909729958,0.3629712760448456,0.8288508653640747,0.3752061426639557,0.002201707800850272,0.3758377730846405,4.999999873689376e-05
0.8411949872970581,0.35458147525787354,0.002217106521129608,0.35674095153808594,0.8264058828353882,0.37983641028404236,0.0022341087460517883,0.3804488778114319,4.999999873689376e-05
0.8453878164291382,0.34663620591163635,0.002076027449220419,0.34876394271850586,0.8337408304214478,0.37457555532455444,0.0020105778239667416,0.3750682771205902,4.999999873689376e-05
0.848532497882843,0.3412412106990814,0.0019587562419474125,0.34333011507987976,0.8435207605361938,0.3718709349632263,0.0018991760443896055,0.37199968099594116,4.999999873689376e-05
0.8532494902610779,0.33533933758735657,0.0018434375524520874,0.33738213777542114,0.8386307954788208,0.3757176697254181,0.0018914216198027134,0.3761671185493469,4.999999873689376e-05
0.8595387935638428,0.3299061954021454,0.0017884104745462537,0.3319091200828552,0.8312958478927612,0.377238929271698,0.0019350943621248007,0.37699881196022034,4.999999873689376e-05
0.857442319393158,0.3237323462963104,0.001738175400532782,0.32567426562309265,0.8117359280586243,0.38947832584381104,0.0018394215730950236,0.3892621099948883,4.999999873689376e-05
0.8642557859420776,0.3142668902873993,0.001674577477388084,0.31619781255722046,0.8068459630012512,0.40206652879714966,0.0017481649992987514,0.4020610749721527,4.999999873689376e-05
0.8642557859420776,0.3100139796733856,0.0016301835421472788,0.3119174540042877,0.7823960781097412,0.43734267354011536,0.0018098237924277782,0.43774399161338806,4.999999873689376e-05
0.8684486150741577,0.3003396987915039,0.0015459215501323342,0.30224838852882385,0.8386307954788208,0.35788822174072266,0.0016527900006622076,0.358320415019989,2.499999936844688e-05
0.8694968819618225,0.29576820135116577,0.0015368920285254717,0.2976640462875366,0.8312958478927612,0.3595322370529175,0.0016571714077144861,0.3598121702671051,2.499999936844688e-05
0.8742138147354126,0.28900328278541565,0.0014876112109050155,0.2908637523651123,0.8361858129501343,0.35421720147132874,0.0016078787157312036,0.3542819619178772,2.499999936844688e-05
0.8789308071136475,0.2839604318141937,0.0014555765083059669,0.2857986092567444,0.8386307954788208,0.3583681285381317,0.0015680533833801746,0.3584238290786743,2.499999936844688e-05
0.8778825998306274,0.27898141741752625,0.0014202205929905176,0.28079089522361755,0.8361858129501343,0.36185938119888306,0.0015386505983769894,0.3617616295814514,2.499999936844688e-05
